id,latitude,longitude,price_per_unit_area,dist_to_mrt_m,cluster_kmeans,cluster_dbscan,distance_band
86,24.96853,121.54413,50.8,338.9679,2,0,250-500m
87,24.9512,121.549,27.0,1455.798,4,3,1-2km
88,24.94297,121.50342,18.3,4066.587,0,5,4km+
89,24.98573,121.52758,48.0,1406.43,1,-1,1-2km
90,24.94783,121.50243,25.3,3947.945,0,-1,2-4km
91,24.9748,121.53059,45.4,274.0144,1,0,250-500m
92,24.98569,121.5276,43.2,1402.016,1,-1,1-2km
93,24.96108,121.51046,21.8,2469.645,3,1,2-4km
94,24.9492,121.53076,16.1,1146.329,4,6,1-2km
95,24.9663,121.54026,41.0,167.5989,2,0,0-250m
96,24.96674,121.54067,51.8,104.8101,2,0,0-250m
97,24.97433,121.5431,59.5,90.45606,2,0,0-250m
98,24.97746,121.53299,34.6,617.4424,1,0,500m-1km
99,24.98203,121.54348,51.0,289.3248,1,0,250-500m
100,24.97433,121.5431,62.2,90.45606,2,0,0-250m
101,24.98872,121.53411,38.2,964.7496,1,2,500m-1km
102,24.97371,121.52984,32.9,170.1289,1,0,0-250m
103,24.96571,121.54089,54.4,193.5845,2,0,0-250m
104,24.95618,121.53844,45.7,208.3905,4,0,0-250m
105,24.96398,121.5425,30.5,392.4459,2,0,250-500m
106,24.97744,121.54458,71.0,292.9978,1,0,250-500m
107,24.97707,121.54308,47.1,189.5181,1,0,0-250m
108,24.95204,121.54842,26.6,1360.139,4,3,1-2km
109,24.9726,121.53561,34.1,592.5006,2,0,500m-1km
110,24.96299,121.51284,28.4,2147.376,3,1,2-4km
111,24.96674,121.54067,51.6,104.8101,2,0,0-250m
112,24.97701,121.54224,39.4,196.6172,1,0,0-250m
113,24.96044,121.51462,23.1,2102.427,3,1,2-4km
114,24.96172,121.53812,7.6,393.2606,2,0,250-500m
115,24.98155,121.54142,53.3,143.8383,1,0,0-250m
116,24.98092,121.54739,46.4,737.9161,1,0,500m-1km
117,24.94375,121.47883,12.2,6396.283,0,-1,4km+
118,24.93885,121.50383,13.0,4197.349,0,5,4km+
119,24.96622,121.51709,30.6,1583.722,3,1,1-2km
120,24.98203,121.54348,59.6,289.3248,1,0,250-500m
121,24.96515,121.53737,31.3,492.2313,2,0,250-500m
122,24.96515,121.53737,48.0,492.2313,2,0,250-500m
123,24.98199,121.54464,32.5,414.9476,1,0,250-500m
124,24.9711,121.5317,45.5,185.4296,2,0,0-250m
125,24.97528,121.54541,57.4,279.1726,2,0,250-500m
126,24.96571,121.54089,48.6,193.5845,2,0,0-250m
127,24.97838,121.53477,62.9,804.6897,1,0,500m-1km
128,24.98085,121.54391,55.0,383.8624,1,0,250-500m
129,24.96674,121.54039,60.7,124.9912,2,0,0-250m
130,24.98086,121.54162,41.0,216.8329,1,0,0-250m
131,24.98092,121.53653,37.5,535.527,1,0,500m-1km
132,24.96299,121.51284,30.7,2147.376,3,1,2-4km
133,24.97433,121.53863,37.5,482.7581,2,0,250-500m
134,24.9866,121.54082,39.5,373.3937,1,0,250-500m
135,24.96604,121.54211,42.2,186.9686,2,0,0-250m
136,24.96357,121.54951,20.8,1009.235,2,7,1-2km
137,24.97937,121.54245,46.8,390.5684,1,0,250-500m
138,24.96495,121.54277,47.4,319.0708,2,0,250-500m
139,24.97843,121.52406,43.5,942.4664,1,0,500m-1km
140,24.96515,121.53737,42.5,492.2313,2,0,250-500m
141,24.98203,121.54348,51.4,289.3248,1,0,250-500m
142,24.97213,121.51627,28.9,1559.827,3,1,1-2km
143,24.97017,121.54647,37.5,640.6071,2,0,500m-1km
144,24.96515,121.53737,40.1,492.2313,2,0,250-500m
145,24.95204,121.54842,28.4,1360.139,4,3,1-2km
146,24.97563,121.54694,45.5,451.2438,2,0,250-500m
147,24.9711,121.5317,52.2,185.4296,2,0,0-250m
148,24.97017,121.54494,43.2,489.8821,2,0,250-500m
149,24.93293,121.51203,45.1,3780.59,0,-1,2-4km
150,24.97349,121.54245,39.7,179.4538,2,0,0-250m
151,24.96719,121.54269,48.5,170.7311,2,0,0-250m
152,24.98118,121.53788,44.7,387.7721,1,0,250-500m
153,24.95204,121.54842,28.9,1360.139,4,3,1-2km
154,24.95418,121.53713,40.9,376.1709,4,0,250-500m
155,24.94297,121.50342,20.7,4066.587,0,5,4km+
156,24.94155,121.50381,15.6,4082.015,0,5,4km+
157,24.94883,121.52954,18.3,1264.73,4,6,1-2km
158,24.97886,121.53464,35.6,815.9314,1,0,500m-1km
159,24.97937,121.54245,39.4,390.5684,1,0,250-500m
160,24.97886,121.53464,37.4,815.9314,1,0,500m-1km
161,24.95836,121.53756,57.8,49.66105,4,0,0-250m
162,24.97723,121.53767,39.6,616.4004,1,0,500m-1km
163,24.94297,121.50342,11.6,4066.587,0,5,4km+
164,24.96674,121.54067,55.5,104.8101,2,0,0-250m
165,24.9711,121.5317,55.2,185.4296,2,0,0-250m
166,24.97694,121.55391,30.6,1236.564,2,-1,1-2km
167,24.97744,121.54458,73.6,292.9978,1,0,250-500m
168,24.97408,121.54011,43.4,330.0854,2,0,250-500m
169,24.96299,121.5432,37.4,515.1122,2,0,500m-1km
170,24.95468,121.55481,23.5,1962.628,4,3,1-2km
171,24.94741,121.49628,14.4,4527.687,0,4,4km+
172,24.98085,121.54391,58.8,383.8624,1,0,250-500m
173,24.97433,121.5431,58.1,90.45606,2,0,0-250m
174,24.98326,121.5446,35.1,401.8807,1,0,250-500m
175,24.9805,121.53778,45.2,432.0385,1,0,250-500m
176,24.97005,121.53758,36.5,472.1745,2,0,250-500m
177,24.94867,121.49507,19.2,4573.779,0,4,4km+
178,24.97697,121.54262,42.0,181.0766,1,0,0-250m
179,24.99176,121.53456,36.7,1144.436,1,2,1-2km
180,24.97493,121.5273,42.6,438.8513,1,0,250-500m
181,24.94898,121.49621,15.5,4449.27,0,4,4km+
182,24.98489,121.54121,55.9,201.8939,1,0,0-250m
183,24.96299,121.51284,23.6,2147.376,3,1,2-4km
184,24.94155,121.50381,18.8,4082.015,0,5,4km+
185,24.95495,121.56174,21.8,2615.465,4,-1,2-4km
186,24.97285,121.5173,21.5,1447.286,3,1,1-2km
187,24.96322,121.51237,25.7,2185.128,3,1,2-4km
188,24.95464,121.56627,22.0,3078.176,4,-1,2-4km
189,24.97707,121.54312,44.3,190.0392,1,0,0-250m
190,24.94297,121.50342,20.5,4066.587,0,5,4km+
191,24.97945,121.53642,42.3,616.5735,1,0,500m-1km
192,24.97371,121.54951,37.8,750.0704,2,0,500m-1km
193,24.9675,121.54069,42.7,57.58945,2,0,0-250m
194,24.98246,121.54477,49.3,421.479,1,0,250-500m
195,24.93363,121.51158,29.3,3771.895,0,-1,2-4km
196,24.95425,121.5399,34.6,461.1016,4,0,250-500m
197,24.981,121.54713,36.6,707.9067,1,0,500m-1km
198,24.96881,121.54089,48.2,126.7286,2,0,0-250m
199,24.96628,121.54196,39.1,157.6052,2,0,0-250m
200,24.96945,121.5449,31.6,451.6419,2,0,250-500m
201,24.96305,121.54915,25.5,995.7554,2,7,500m-1km
202,24.98746,121.54391,45.9,561.9845,1,0,500m-1km
203,24.97559,121.53713,31.5,642.6985,1,0,500m-1km
204,24.98203,121.54348,46.1,289.3248,1,0,250-500m
205,24.95182,121.54887,26.6,1414.837,4,3,1-2km
206,24.97289,121.51728,21.4,1449.722,3,1,1-2km
207,24.98343,121.53762,44.0,379.5575,1,0,250-500m
208,24.97503,121.53692,34.2,665.0636,1,0,500m-1km
209,24.95204,121.54842,26.2,1360.139,4,3,1-2km
210,24.97347,121.54271,40.9,175.6294,2,0,0-250m
211,24.97937,121.54245,52.2,390.5684,1,0,250-500m
212,24.9748,121.53059,43.5,274.0144,1,0,250-500m
213,24.98672,121.52091,31.1,1805.665,1,-1,1-2km
214,24.97433,121.5431,58.0,90.45606,2,0,0-250m
215,24.96731,121.51486,20.9,1783.18,3,1,1-2km
216,24.972,121.54477,48.1,383.7129,2,0,250-500m
217,24.97153,121.53559,39.7,590.9292,2,0,500m-1km
218,24.97838,121.54119,40.8,372.6242,1,0,250-500m
219,24.96515,121.53737,43.8,492.2313,2,0,250-500m
220,24.98102,121.53655,40.2,529.7771,1,0,500m-1km
221,24.97703,121.54265,78.3,186.5101,1,0,0-250m
222,24.98569,121.5276,38.5,1402.016,1,-1,1-2km
223,24.98123,121.53743,48.5,431.1114,1,0,250-500m
224,24.98569,121.5276,42.3,1402.016,1,-1,1-2km
225,24.97814,121.5417,46.0,324.9419,1,0,250-500m
226,24.96571,121.54089,49.0,193.5845,2,0,0-250m
227,24.94155,121.50381,12.8,4082.015,0,5,4km+
228,24.98059,121.53986,40.2,265.0609,1,0,250-500m
229,25.00115,121.51776,46.6,3171.329,1,-1,2-4km
230,24.9489,121.53095,19.0,1156.412,4,6,1-2km
231,24.96299,121.51284,33.4,2147.376,3,1,2-4km
232,24.94235,121.50357,14.7,4074.736,0,5,4km+
233,24.95032,121.49587,17.4,4412.765,0,4,4km+
234,24.98016,121.53932,32.4,333.3679,1,0,250-500m
235,24.96007,121.51361,23.9,2216.612,3,1,2-4km
236,24.96606,121.54297,39.3,250.631,2,0,250-500m
237,24.98322,121.53765,61.9,373.8389,1,0,250-500m
238,24.97668,121.52518,39.0,732.8528,1,0,500m-1km
239,24.97668,121.52518,40.6,732.8528,1,0,500m-1km
240,24.96334,121.54767,29.7,837.7233,2,7,500m-1km
241,24.96412,121.5167,28.8,1712.632,3,1,1-2km
242,24.96606,121.54297,41.4,250.631,2,0,250-500m
243,24.96357,121.51329,33.4,2077.39,3,1,2-4km
244,24.98236,121.53923,48.2,204.1705,1,0,0-250m
245,24.97213,121.51627,21.7,1559.827,3,1,1-2km
246,24.97258,121.54814,40.8,639.6198,2,0,500m-1km
247,24.96412,121.54273,40.6,389.8219,2,0,250-500m
248,24.96211,121.54928,23.1,1055.067,4,7,1-2km
249,24.96357,121.54951,22.3,1009.235,2,7,1-2km
250,24.95743,121.47516,15.0,6306.153,0,-1,4km+
251,24.97429,121.53917,30.0,424.7132,2,0,250-500m
252,24.9496,121.53018,13.8,1159.454,4,6,1-2km
253,24.97433,121.5431,52.7,90.45606,2,0,0-250m
254,24.96464,121.51623,25.9,1735.595,3,1,1-2km
255,24.98254,121.54395,51.8,329.9747,1,0,250-500m
256,24.95095,121.48458,17.4,5512.038,0,-1,4km+
257,24.97519,121.53151,26.5,339.2289,1,0,250-500m
258,24.97501,121.5273,43.9,444.1334,1,0,250-500m
259,24.97744,121.54458,63.3,292.9978,1,0,250-500m
260,24.96334,121.54767,28.8,837.7233,2,7,500m-1km
261,24.97073,121.517,30.7,1485.097,3,1,1-2km
262,24.95885,121.51359,24.4,2288.011,3,1,2-4km
263,24.98203,121.54348,53.0,289.3248,1,0,250-500m
264,24.96299,121.51284,31.7,2147.376,3,1,2-4km
265,24.96968,121.54522,40.6,493.657,2,0,250-500m
266,24.97886,121.53464,38.1,815.9314,1,0,500m-1km
267,24.96731,121.51486,23.7,1783.18,3,1,1-2km
268,24.97433,121.53863,41.1,482.7581,2,0,250-500m
269,24.97937,121.54245,40.1,390.5684,1,0,250-500m
270,24.96334,121.54767,23.0,837.7233,2,7,500m-1km
271,24.9746,121.53046,117.5,252.5822,1,0,250-500m
272,24.96945,121.5449,26.5,451.6419,2,0,250-500m
273,24.96515,121.53737,40.5,492.2313,2,0,250-500m
274,24.97371,121.52984,29.3,170.1289,1,0,0-250m
275,24.97305,121.53994,41.0,394.0173,2,0,250-500m
276,24.96772,121.54102,49.7,23.38284,2,0,0-250m
277,24.95425,121.5399,34.0,461.1016,4,0,250-500m
278,24.96322,121.51237,27.7,2185.128,3,1,2-4km
279,24.95618,121.53844,44.0,208.3905,4,0,0-250m
280,24.97026,121.51642,31.1,1554.25,3,1,1-2km
281,24.96581,121.54086,45.4,184.3302,2,0,0-250m
282,24.98118,121.53788,44.8,387.7721,1,0,250-500m
283,24.9512,121.549,25.6,1455.798,4,3,1-2km
284,24.98674,121.51844,23.5,1978.671,1,-1,1-2km
285,24.96735,121.54464,34.4,383.2805,2,0,250-500m
286,24.97509,121.53644,55.3,718.2937,1,0,500m-1km
287,24.97433,121.5431,56.3,90.45606,2,0,0-250m
288,24.95425,121.5399,32.9,461.1016,4,0,250-500m
289,24.97841,121.5428,51.0,323.6912,1,0,250-500m
290,24.98203,121.54348,44.5,289.3248,1,0,250-500m
291,24.97217,121.53471,37.0,490.3446,2,0,250-500m
292,24.95744,121.53711,54.4,56.47425,4,0,0-250m
293,24.95674,121.534,24.5,395.6747,4,0,250-500m
294,24.96735,121.54464,42.5,383.2805,2,0,250-500m
295,24.9796,121.5414,38.1,335.5273,1,0,250-500m
296,24.96299,121.51252,21.8,2179.59,3,1,2-4km
297,24.99176,121.53456,34.1,1144.436,1,2,1-2km
298,24.97003,121.5458,28.5,567.0349,2,0,500m-1km
299,24.94155,121.50381,16.7,4082.015,0,5,4km+
300,24.98178,121.54059,46.1,121.7262,1,0,0-250m
301,24.96696,121.53992,36.9,156.2442,2,0,0-250m
302,24.97229,121.53445,35.7,461.7848,2,0,250-500m
303,24.95885,121.51359,23.2,2288.011,3,1,2-4km
304,24.97161,121.53423,38.4,439.7105,2,0,250-500m
305,24.96622,121.51668,29.4,1626.083,3,1,1-2km
306,24.98203,121.54348,55.0,289.3248,1,0,250-500m
307,24.97369,121.52979,50.2,169.9803,1,0,0-250m
308,24.9546,121.56627,24.7,3079.89,4,-1,2-4km
309,24.98203,121.54348,53.0,289.3248,1,0,250-500m
310,24.94883,121.52954,19.1,1264.73,4,6,1-2km
311,24.95394,121.55174,24.7,1643.499,4,3,1-2km
312,24.97425,121.53814,42.2,537.7971,2,0,500m-1km
313,24.97071,121.54069,78.0,318.5292,2,0,250-500m
314,24.96674,121.54067,42.8,104.8101,2,0,0-250m
315,24.97201,121.54722,41.6,577.9615,2,0,500m-1km
316,24.9832,121.51812,27.3,1756.411,1,-1,1-2km
317,24.96606,121.54297,42.0,250.631,2,0,250-500m
318,24.97795,121.53451,37.5,752.7669,1,0,500m-1km
319,24.98343,121.53762,49.8,379.5575,1,0,250-500m
320,24.95562,121.53872,26.9,272.6783,4,0,250-500m
321,24.93885,121.50383,18.6,4197.349,0,5,4km+
322,24.98872,121.53411,37.7,964.7496,1,2,500m-1km
323,24.97388,121.52981,33.1,187.4823,1,0,0-250m
324,24.97631,121.54436,42.5,197.1338,2,0,0-250m
325,24.96412,121.5167,31.3,1712.632,3,1,1-2km
326,24.97015,121.54494,38.1,488.8193,2,0,250-500m
327,24.95744,121.53711,62.1,56.47425,4,0,0-250m
328,24.97538,121.54971,36.7,757.3377,2,0,500m-1km
329,24.97003,121.51696,23.6,1497.713,3,1,1-2km
330,24.93885,121.50383,19.2,4197.349,0,5,4km+
331,24.94935,121.53046,12.8,1156.777,4,6,1-2km
332,24.94826,121.49587,15.6,4519.69,0,4,4km+
333,24.97577,121.53475,39.6,617.7134,1,0,500m-1km
334,24.96674,121.54067,38.4,104.8101,2,0,0-250m
335,24.99006,121.5346,22.8,1013.341,1,2,1-2km
336,24.96431,121.54063,36.5,337.6016,2,0,250-500m
337,24.98407,121.51748,35.6,1867.233,1,-1,1-2km
338,24.96871,121.54651,30.9,600.8604,2,0,500m-1km
339,24.96867,121.54331,36.3,258.186,2,0,250-500m
340,24.98254,121.54395,50.4,329.9747,1,0,250-500m
341,24.97281,121.53265,42.9,270.8895,2,0,250-500m
342,24.97371,121.54951,37.0,750.0704,2,0,500m-1km
343,24.97433,121.5431,53.5,90.45606,2,0,0-250m
344,24.98223,121.53597,46.6,563.2854,1,0,500m-1km
345,24.998,121.5155,41.2,3085.17,1,-1,2-4km
346,24.9711,121.5317,37.9,185.4296,2,0,0-250m
347,24.96412,121.5167,30.8,1712.632,3,1,1-2km
348,24.95719,121.47353,11.2,6488.021,0,-1,4km+
349,24.97585,121.54516,53.7,259.6607,2,0,250-500m
350,24.96674,121.54067,47.0,104.8101,2,0,0-250m
351,24.96515,121.53737,42.3,492.2313,2,0,250-500m
352,24.96324,121.51241,28.6,2180.245,3,1,2-4km
353,24.96143,121.50827,25.7,2674.961,3,1,2-4km
354,24.96299,121.51284,31.3,2147.376,3,1,2-4km
355,24.95204,121.54842,30.1,1360.139,4,3,1-2km
356,24.98085,121.54391,60.7,383.8624,1,0,250-500m
357,24.97417,121.52999,45.3,211.4473,1,0,0-250m
358,24.96853,121.54413,44.9,338.9679,2,0,250-500m
359,24.96571,121.54089,45.1,193.5845,2,0,0-250m
360,24.95505,121.55964,24.7,2408.993,4,-1,2-4km
361,24.983,121.54022,47.1,87.30222,1,0,0-250m
362,24.97345,121.54093,63.3,281.205,2,0,250-500m
363,24.98872,121.53408,40.0,967.4,1,2,500m-1km
364,24.98182,121.54086,48.0,109.9455,1,0,0-250m
365,24.97913,121.53666,33.1,614.1394,1,0,500m-1km
366,24.96182,121.51222,29.5,2261.432,3,1,2-4km
367,24.95153,121.55254,24.8,1801.544,4,3,1-2km
368,24.96464,121.51531,20.9,1828.319,3,1,1-2km
369,24.97544,121.53119,43.1,350.8515,1,0,250-500m
370,24.96322,121.51237,22.8,2185.128,3,1,2-4km
371,24.98203,121.54348,42.1,289.3248,1,0,250-500m
372,24.95591,121.53956,51.7,312.8963,4,0,250-500m
373,24.96628,121.54196,41.5,157.6052,2,0,0-250m
374,24.9748,121.53059,52.2,274.0144,1,0,250-500m
375,24.97937,121.54245,49.5,390.5684,1,0,250-500m
376,24.96165,121.55011,23.8,1157.988,4,7,1-2km
377,24.96447,121.51649,30.5,1717.193,3,1,1-2km
378,24.95836,121.53756,56.8,49.66105,4,0,0-250m
379,24.97077,121.54634,37.4,587.8877,2,0,500m-1km
380,24.97744,121.54458,69.7,292.9978,1,0,250-500m
381,24.98203,121.54348,53.3,289.3248,1,0,250-500m
382,24.98298,121.53981,47.3,132.5469,1,0,0-250m
383,24.93207,121.51597,29.3,3529.564,0,-1,2-4km
384,24.97845,121.53889,40.3,506.1144,1,0,500m-1km
385,24.94297,121.50342,12.9,4066.587,0,5,4km+
386,24.983,121.54026,46.6,82.88643,1,0,0-250m
387,24.9711,121.5317,55.3,185.4296,2,0,0-250m
388,24.96042,121.51462,25.6,2103.555,3,1,2-4km
389,24.95957,121.51353,27.3,2251.938,3,1,2-4km
390,24.96756,121.5423,67.7,122.3619,2,0,0-250m
391,24.97151,121.5435,38.6,377.8302,2,0,250-500m
392,24.95155,121.55387,31.3,1939.749,4,3,1-2km
393,24.97927,121.53874,35.3,443.802,1,0,250-500m
394,24.98872,121.53408,40.3,967.4,1,2,500m-1km
395,24.95544,121.4963,24.7,4136.271,0,-1,4km+
396,24.974,121.53842,42.5,512.5487,2,0,500m-1km
397,24.97198,121.55063,31.9,918.6357,2,0,500m-1km
398,24.99156,121.53406,32.2,1164.838,1,2,1-2km
399,24.96447,121.51649,23.0,1717.193,3,1,1-2km
400,24.97371,121.52984,37.3,170.1289,1,0,0-250m
401,24.97433,121.53863,35.5,482.7581,2,0,250-500m
402,24.96305,121.51254,27.7,2175.03,3,1,2-4km
403,24.97388,121.52981,28.5,187.4823,1,0,0-250m
404,24.98353,121.53966,39.7,161.942,1,0,0-250m
405,24.98203,121.54348,41.2,289.3248,1,0,250-500m
406,24.95663,121.53765,37.2,130.9945,4,0,0-250m
407,24.97293,121.54026,40.5,372.1386,2,0,250-500m
408,24.95505,121.55964,22.3,2408.993,4,-1,2-4km
409,24.9633,121.51243,28.1,2175.744,3,1,2-4km
410,24.94155,121.50381,15.4,4082.015,0,5,4km+
411,24.97433,121.5431,50.0,90.45606,2,0,0-250m
412,24.97923,121.53986,40.6,390.9696,1,0,250-500m
413,24.96674,121.54067,52.5,104.8101,2,0,0-250m
414,24.97433,121.5431,63.9,90.45606,2,0,0-250m
